"","id","nome","classe","ticker","retorno_total","mkt_cap","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","size"
"14",32,"Cambuci","ON","CAMB3",NA,16077.6,NA,-2.445713205,11.784222879,92992,4.6104195481,-194.0275496,23.925826655,80.100911181,NA,NA,NA,0.25529606179,NA,48359,"small"
"15",36,"CCR SA","ON","CCRO3",424.91456236,9525295.534,44.146837697,11.526470857,28.55489687,1675776,228.27671775,232.15525999,50.946317431,174.59057133,3.3928233393,0.23406824218,48.482478079,0.11771767358,0.32016830616,406297,"large"
"16",38,"Ceb","ON","CEBR3",NA,131285.98485,21.25081036,4.3606879619,9.7085746981,953672,415.74546385,13.986778408,308.76702594,39.480072085,10.85473428,NA,7.831517576,10.244425287,NA,70045,"small"
"17",39,"Cedro","ON","CEDO3",25.382039369,118847.30139,13.458909638,7.1039400051,9.1093313256,85112,106.1636137,51.615405386,46.156589977,-4.2420945257,2.3468465724,NA,31.592174395,1.9131491673,0.044653926345,9061,"small"
"18",40,"Ceee-D","ON","CEED3",-66.622162884,2877389.4627,99.536979102,0.85085034223,-0.83497695209,264916,NA,806.01930036,-9.3064386556,NA,51.164102351,NA,0,0.70186628867,NA,0,"large"
"19",41,"Ceee-Gt","PN","EEEL4",NA,1485591.0986,40.634695738,6.9194999927,10.343376246,340035,192.93048804,87.702314499,60.414596694,-47.492349072,60.962769617,NA,14.562611406,9.416413282,NA,0,"large"
"20",43,"Celesc","PN","CLSC4",177.1153341,1549531.6,18.383529902,6.5142356825,11.282054996,829204,NA,10.91466047,-299.99320269,NA,10.131877746,0.15587086308,30.687103526,1.6259488475,0.088892359577,527647,"large"
"21",45,"Celpe","PNA","CEPE5",66.217032598,2218040.109,38.682637016,13.256680037,15.899502906,789399,355.44607577,88.761425464,56.203571516,34.236775603,6.4364240485,NA,71.755920622,1.9802427707,0.082353614776,15468,"large"
"22",46,"Cemig","PN","CMIG4",221.97504089,14303024.97,23.037870292,8.2423336177,12.868454279,4067171,57.56268885,75.762296984,66.879057288,62.007617892,2.5113118722,0.20392694241,137.03475657,0.23352044846,0.1940264163,2148531,"large"
"23",48,"Cesp","PNB","CESP6",284.87842204,4458341.5678,-22.776047736,-13.783563543,-6.2280951952,1160921,-207.18863088,49.286251139,-47.586351596,-13.789565117,4.2750662521,0.1680405755,54.33903209,4.4831740811,0.21193544042,1119422,"large"
