"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"31",273,"Whirlpool","WHRL4",4332946.55,"PN",888.67173431,38.159373249,17.756630513,30.699803961,1855442,790.75274394,6.1009311979,2223.9302694,-2.763423092,1.131842797,0.60372294426,66.426629681,0.17674051737,0.41972375203,163743
"32",153,"Lojas Americ","LAME4",4306071.99,"PN",775.39179051,26.563748829,1.7587109205,20.541880133,2233779,-30.534727366,1043.9986687,34.771151387,261.33138369,4.7516579458,0.29256010678,2.8645246764,0.029910061033,0.46973458169,184662
"33",54,"Comgas","CGAS5",3861122.73,"PNA",1483.8110919,47.75266286,12.811029679,22.969561829,1366336,406.1336545,139.32780514,54.304700934,78.70684111,17.432387877,0.84358807049,33.460825562,1.2020875762,0.33406805235,187997
"34",238,"Suzano S.A.","SUZB3",3705778.44,"ON",NA,-10.276487958,-3.4827235511,6.4989159606,1416360,-164.6033824,204.32809095,17.181902317,116.02894527,NA,NA,NA,1.1124988906,NA,272719
"35",59,"Cosan","CSAN3",3677784.2,"ON",808.76229678,NA,NA,NA,NA,NA,NA,NA,NA,10.845959187,0.3470393275,13.75658723,NA,0.34925327577,NA
"36",141,"Klabin S/A","KLBN11",3520171.15,"UNT N2",NA,-11.828283729,-4.1182208634,4.2678723207,809913,-135.41303193,239.60111455,8.6671179054,115.48809929,NA,0.2219481374,NA,0.097355716249,NA,0
"37",69,"Cyrela Realt","CYRE3",3272660.8,"ON",358.82175559,14.344027357,4.3075206189,8.112590782,1082580,322.74429634,85.810297397,36.40404937,1110.6804157,3.8506273008,0.084138795079,25.860192119,0.36915081124,0.18353837318,187351
"38",86,"Energias BR","ENBR3",3129304.0455,"ON",449.83653924,10.670893851,4.6970414609,8.1937545402,1546621,240.01163045,59.653021391,36.15275857,53.382209891,3.5073248063,0.25355021708,41.591227032,0.613382087,0.40997060871,319933
"39",11,"Ampla Energ","CBEE3",3059562.416,"ON",-0.086838776861,17.786309675,6.2709697376,9.9040094478,799053,375.57374185,98.534059727,51.935924989,8.699162649,8.9819427475,NA,49.321579272,1.3614484626,-0.00019305793291,405721
"40",40,"Ceee-D","CEED3",2877389.4627,"ON",-66.622162884,99.536979102,0.85085034223,-0.83497695209,264916,NA,806.01930036,-9.3064386556,NA,51.164102351,NA,0,0.70186628867,NA,0
"41",29,"Braskem","BRKM5",2820661.79,"PNA",681.2503795,-38.609226671,-10.80790357,4.5773246517,2818733,-743.63290627,325.72167886,10.751418786,63.523033598,13.870990639,0.24389717368,41.196954043,2.6897558137,0.23062329561,0
"42",122,"Hypera","HYPE3",2645365.32,"ON",551.20646431,-30.010047814,-5.830387652,-2.1419987889,798056,NA,23.185677433,-17.628928619,NA,7.3973344477,0.13274052111,15.764922003,0.44096013435,0.22617462951,30047
"43",18,"B2W Digital","BTOW3",2622998,"ON",211.21589781,19.151680516,2.5085326173,20.957642246,915472,NA,708.33754835,37.456763553,NA,11.569579185,0.21791724079,0.32421588164,0.26076099267,0.095439699211,4270
"44",79,"Elektro","EKTR4",2363863.033,"PN",497.81455533,36.159490982,13.258429856,22.416026082,786206,-60.96471772,82.472131362,89.410422408,-15.001488551,4.7845238178,NA,98.167966894,1.4467173419,0.22101789876,81701
"45",157,"M.Diasbranco","MDIA3",2247114.92,"ON",573.14728855,22.392415516,9.0615152297,15.070266479,820285,326.63358369,77.314847792,33.607191024,56.40973392,13.245602223,0.2383284622,10.991092511,0.17165346883,0.27290719297,85583
"46",45,"Celpe","CEPE5",2218040.109,"PNA",66.217032598,38.682637016,13.256680037,15.899502906,789399,355.44607577,88.761425464,56.203571516,34.236775603,6.4364240485,NA,71.755920622,1.9802427707,0.082353614776,15468
"47",57,"Copasa","CSMG3",2159312.76,"ON",491.35831668,7.4139691823,4.1140773822,5.4222587127,1088788,NA,44.954676763,44.37401496,NA,14.122340772,0.25902845609,37.738712827,0.86708547064,0.20088903636,416646
"48",162,"Marfrig","MRFG3",2004362.655,"ON",37.572798364,-1.8890293843,-0.26941055832,19.116529956,1326972,NA,156.9810115,22.351279069,NA,4.3716887331,-0.13496642047,3.9653747765,0.68607869442,0.052832927307,108475
"49",110,"Gol","GOLL4",1989204.57,"PN",286.77698689,-51.311410407,-17.978271693,-1.8799545531,869313,-413.02433664,137.34544471,-6.8699405455,1163.7138465,8.1388313487,0.23565048479,4.3635398725,3.4689772857,0.060894843665,18399
