"","X","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","portfolio","retorno_an"
"148",59,149,"Localiza","RENT3",1402122.2,"ON",2720.0420749,28.194108268,6.6430369448,16.352791633,482847,NA,257.68386021,25.606660874,NA,9.6392470989,0.67646800924,4.7636148764,0.030048081672,0.32201628528,22495,"largefolio",39.6450541591014
"149",60,229,"SLC Agricola","SLCE3",1367966.6,"ON",393.58884567,8.5282788021,2.8933367837,13.48778981,166341,NA,54.818814582,73.870468889,NA,5.5169480554,0.33868697849,20.287672285,0.21197384454,0.1814562599,0,"largefolio",17.3104048743333
"150",61,106,"Gafisa","GFSA3",1363311.87,"ON",-74.015203183,7.1009040134,1.984542662,7.1929420774,526003,2.3790379332,74.484336954,22.189708848,520.06746023,22.183086834,-0.36052746037,249.63037354,1.770292453,-0.18524883399,17567,"largefolio",-12.6079488741982
"151",62,177,"MRV","MRVE3",1330634.2,"ON",1123.2024682,18.219257713,9.3824606139,19.273013413,420597,NA,26.109959654,93.098802179,NA,3.415506507,0.25365204041,28.484485851,0.23204429044,0.17838848748,20134,"largefolio",28.454651397041
"152",63,87,"Energisa","ENGI11",1327066.6,"UNT N2",NA,16.977914873,3.5797929455,11.263592818,622703,7.2582689724,241.03033825,34.964050595,48.147695454,NA,1.2869880567,NA,0.15492426889,NA,76869,"largefolio",NA
"153",64,270,"Vulcabras","VULC3",1294300,"ON",-46.592089366,78.757810297,12.002702843,19.024023543,635006,1982.2176182,181.33171161,33.929216498,595.84832322,5.8461854796,0.73393935666,23.232597642,1.0084823413,-0.03308240748,93498,"largefolio",-6.0794647737246
"154",65,71,"Dasa","DASA3",1290419.44,"ON",1006.6028002,-2.3493961814,-0.65086990539,5.1221074425,357424,-26.096483368,211.22110906,15.145497711,422.10009078,6.3039926944,0.59548865032,3.0580846146,0.12534947282,0.18754899822,98510,"largefolio",27.1742474787426
"155",66,113,"Grendene","GRND3",1270000,"ON",1494.4337765,21.750087417,14.936498188,27.209290184,599169,-58.346763762,17.779144903,-42.786461906,76.529003749,2.4629157696,0.51362129567,38.44674166,0.20798914031,0.44651606112,67494,"largefolio",31.9048148308395
"156",67,254,"Totvs","TOTS3",1152312.48,"ON",986.43008309,13.832355406,4.7586686186,15.37886309,446618,NA,91.235554278,19.290409294,NA,3.0945242588,0.29246157155,8.7840467028,0.035959242236,0.17582091066,34519,"largefolio",26.9404923015798
"157",68,91,"Eqtl Maranhao","EQMA3B",1124153.5,"ON",NA,45.1071826,10.231485432,19.375583036,473029,113.72431433,177.05860389,42.043697819,159.15213282,7.2138184761,NA,29.807601736,4.6558230136,NA,26855,"largefolio",NA
"158",69,156,"Lupatech","LUPA3",1113871.21,"ON",-99.950710559,-34.032732995,-5.40469491,11.069585989,286799,-1654.3790928,615.398859,13.351670004,2173.3417704,1547.2826705,-0.19209615661,0,544.40472684,-1.0230598522,11059,"largefolio",-53.3044613751861
"159",70,93,"Equatorial","EQTL3",1058492.76,"ON",2630.1131307,55.137284643,9.8578643261,32.319289432,911714,NA,96.575276979,65.980125557,NA,5.2417201484,0.86966311001,10.196897087,0.14330822768,1.4322537139,285424,"largefolio",39.1932144720053
"160",71,116,"Guararapes","GUAR3",1045200,"ON",1244.2137146,10.938728168,6.9073984493,1.215108415,971402,194.48398959,9.1846686534,51.760977601,100.74964052,4.4596771223,0.24766346125,15.615549117,0.11437999789,0.17614355842,62851,"largefolio",29.672186002624
"161",72,223,"Sao Martinho","SMTO3",1033880.04,"ON",823.20882832,-6.6563509282,-3.2004583125,0.32263975663,89949,NA,73.244299065,1.2663450648,NA,5.2086400316,0.3897872006,11.001414,NA,0.35123185005,99391,"largefolio",24.890669831693
"162",73,276,"Yduqs Part","YDUQ3",982312.5,"ON",1473.027419,9.2839733976,5.9315823069,6.540891419,349175,NA,2.748441489,-10.48343947,NA,9.0070602656,0.57376093124,19.96945069,0.029098628755,0.32774545101,20166,"largefolio",31.7266445556505
"163",74,210,"Randon Part","RAPT4",978946.24,"PN",431.17590754,34.952438149,13.710891593,28.308668833,833690,208.66129747,60.67528496,148.69852655,208.00809024,2.1608918628,0.14647461224,17.298236551,0.17423758871,0.14132524665,10079,"largefolio",18.1745172496334
"164",75,89,"Eneva","ENEV3",956340,"ON",-52.76782533,11.19682606,5.9049350839,-3.2482544581,61,NA,41.205502237,7.0734768953,NA,233.15944455,-0.21487261177,24.059681248,33.986395494,-0.043564035021,179988,"largefolio",-7.22653141013029
"165",76,173,"MMX Miner","MMXM3",844481.59,"ON",-99.241509054,-48.763767623,-38.892372068,-3.6816223377,257380,NA,-1339.5146371,-10.741755629,NA,646.32923886,-0.39402377004,0,295.77025665,-0.20325355911,427322,"largefolio",-38.6245004314655
